instance_no,customer_count,total_usage_value,customers
1,7,44,"AKJAM, CBIC, GAHORIZONS, MERIDIAN, NJTCFGE, ORBRCHG, WAPOCCS"
2,10,41,"CTJFSGNH, CAMCC, DEMO5, LARMSRV, MIWLSLS, NYCNGSV, OHCCHOO, OHMCKHL, PALCARC, WACCDOY"
3,10,40,"DEMO, CAREY, CTCWBGC, IALUTSV, MAGADRA, MNHDC, NYSTDOM, OHLYAFS, PAUNITY, SWANS"
4,7,42,"MTWAIN, CAMHALA, FSVCA, KYCHONK, MOARCOA, OHBLHBS, PASTRAW"
5,10,43,"OHCOMHA, CASCHARP, GAGTWY, KYMRYHT, MNCHOSC, NYBPCRI, OHHPSYS, PAVPS, TLLMK, ZMBRO"
6,7,45,"AKAKELA, DEMO6, ILAUNTM, MOBCSVS, OCSDS, PAICFSI, VTARISS"
7,9,41,"AKASSETS, DCCCA, GAIT, MEOCMHS, NYCASES, OHCRSCN, OHSTJOE, PFORP, YTHHM"
8,8,41,"AKCCI, CMBRLD, GAPINES, LIFECARE, NJCMMAU, OHGCBHS, ORXPIOH, VILAG"
9,8,40,"AKCHLDF, CTBDGHC, GBCTR, MAWYFSN, NECHN, OHDAYBK, PALARCHE, SOUND"
10,9,44,"AKCOOK, GAAACSB, INVOAOH, MIHLYCS, OHBUTLR, OHEASTC, ORWBC, RBMHC, WILDR"
11,8,44,"AKCS, CCMHR, GAHLND, MASMDOC, MONCMMH, OHCLS, ORCOLCR, WADSBHC"
12,8,44,"AKDENALI, COMHBHI, ILBEWCB, LACAHSD, MLSTN, OHMUSBH, OROCP, TNHEALTHCONNECT"
13,9,42,"AKFBNAT, DEMO13, IAYTHSS, MAVOLAM, NJCBH, OHMATHP, ORCFD, PIN, WAAMBHS"
14,7,40,"AKKANA, CHRYSALIS, DEMO2, KSCKMHC, MOFGCBH, OHTALBT, WAACIHS"
15,9,42,"AKTANANA, DECNXNS, ILSRTCN, LAVOASL, MIALLIANCE, NJRCHDH, OHSCITO, PACRSCS, TXEPCGC"
16,8,45,"AKVOLAM, CTCJR, HAMDN, MALUKCC, MOPREFH, ORBRWRC, ORWILLF, TVC"
17,7,41,"AKXPIOH, CLTSP, CTSCADD, KYLIFSK, MOSBH, OHWOMENS, SMEMR"
18,7,41,"ALBRIGE, CTCCAOH, GALKT, MABOSTN, MNHWEHS, OHFOBHS, PAPYRMD"
19,9,39,"ALMAMHA, COCONSORTIUM, CTTCFGC, IACIOWA, KYSELFR, NJJHI, OHCBHTH, PADCFCM, SDLSSSD"
20,8,43,"ALMHBCS, CPLSY, DEMO3, ILOMNIY, MOBHR, OHPIKEC, ORSLNMH, WALIFLN"
21,8,46,"ALNAMHC, DEMOSYS, ILPILRS, MAUMSMH, NYLISCI, OHMODPW, SBHIO, WAEXSYC"
22,8,41,"ALSPECT, FAMOUT, GARCVPL, LABCMHOLD, NJCFGHN, OAKLAWN, PACFF, TRLGY"
23,9,40,"ALSWAMH, CRSRD, FCDHS, IAYHFS, MACRJ, MOQOPC, OHBHCCH, OHRAVEN, PAKEYSN"
24,11,42,"ALVOASE, COJFSVC, FMRSH, ISAOH, MAYOUIN, NJSTRES, OHACC, OHSHCCC, ORFAMSL, RINEBAS, WAFMLYS"
25,8,45,"AROBHAW, DPHMH, HVMHC, MHSDL, NJVANHS, OHCCBH, PACCTC, WACRMHS"
26,9,42,"BGVLG, CTCHFST, GGMHC, KYADANT, MASTANN, MTHFH, OHCCC, OHSIXCO, SCBHS"
27,8,44,"BHNINC, DEMO11, ILECKER, MDJWSCS, NJPREBH, OHFAMCC, PTHWY, WATRITS"
28,8,42,"CACMMHC, EMRGC, IAFOUNDATION, MARIVCC, MOREDIS, OHNDI, OHUMC, WACCSWW"
29,8,41,"CAGHMHC, CGCMF, CTCTREN, GACFI, LAAAHSD, MSCANPY, OHRFSCF, SHLTR"
30,7,43,"CAMASADA, FCAWEB, INDCTR, MNNPMHC, NYIBDCC, ORNHSOH, TRLDL"
